date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:08	61544/61544	---M--	200	added ('OK')	image/jpeg	etag:%2267000849-f068%22	https://sigony.com/wp-content/uploads/2024/10/sigony_asteroids_placeholder_01.jpg	C:/SITE%20AMPLIO/1/sigony.com/wp-content/uploads/2024/10/sigony_asteroids_placeholder_01.jpg	(from https://sigony.com/)
20:01:08	86051/86051	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2023:01:08%20GMT	https://sigony.com/project-type/frozen-foods/	C:/SITE%20AMPLIO/1/sigony.com/project-type/frozen-foods/index.html	(from https://sigony.com/)
20:01:09	2287180/2287180	---M--	200	added ('OK')	video/mp4	etag:%2267000845-22e64c%22	https://sigony.com/wp-content/uploads/2024/09/sigony_asteroids_2024.mp4	C:/SITE%20AMPLIO/1/sigony.com/wp-content/uploads/2024/09/sigony_asteroids_2024.mp4	(from https://sigony.com/)
20:01:09	3755010/3755010	---M--	200	added ('OK')	video/mp4	etag:%2267052be7-394c02%22	https://sigony.com/wp-content/uploads/2024/10/mars_homepage_3_small.mp4	C:/SITE%20AMPLIO/1/sigony.com/wp-content/uploads/2024/10/mars_homepage_3_small.mp4	(from https://sigony.com/)
20:01:09	158183/158183	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2016:21:39%20GMT	https://sigony.com/portfolio/ansmedical-brand-redesign/	C:/SITE%20AMPLIO/1/sigony.com/portfolio/ansmedical-brand-redesign/index.html	(from https://sigony.com/)
20:01:09	25646/25646	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-642e%22	https://sigony.com/wp-content/themes/salient/css/build/style-non-critical.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/style-non-criticald8c7.css	(from https://sigony.com/)
20:01:09	6907953/6907953	---M--	200	added ('OK')	video/mp4	etag:%2267056754-696831%22	https://sigony.com/wp-content/uploads/2024/10/sigony_sylvan_2024_short_small.mp4	C:/SITE%20AMPLIO/1/sigony.com/wp-content/uploads/2024/10/sigony_sylvan_2024_short_small.mp4	(from https://sigony.com/)
20:01:10	86128/86128	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2023:01:09%20GMT	https://sigony.com/project-type/clinical-labs/	C:/SITE%20AMPLIO/1/sigony.com/project-type/clinical-labs/index.html	(from https://sigony.com/)
20:01:10	168162/168162	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2016:21:40%20GMT	https://sigony.com/portfolio/pica-express-food-packaging-design/	C:/SITE%20AMPLIO/1/sigony.com/portfolio/pica-express-food-packaging-design/index.html	(from https://sigony.com/)
20:01:10	13897/13897	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-3649%22	https://sigony.com/wp-content/themes/salient/css/build/plugins/jquery.fancybox.css?ver=3.3.1	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/plugins/jquery.fancybox3d36.css	(from https://sigony.com/)
20:01:10	220/220	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-dc%22	https://sigony.com/wp-content/themes/salient/css/build/plugins/lenis.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/plugins/lenisd8c7.css	(from https://sigony.com/)
20:01:11	174710/174710	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2016:21:41%20GMT	https://sigony.com/portfolio/kismera-product-label-design/	C:/SITE%20AMPLIO/1/sigony.com/portfolio/kismera-product-label-design/index.html	(from https://sigony.com/)
20:01:11	86004/86004	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2023:01:10%20GMT	https://sigony.com/project-type/snacks/	C:/SITE%20AMPLIO/1/sigony.com/project-type/snacks/index.html	(from https://sigony.com/)
20:01:11	23969/23969	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-5da1%22	https://sigony.com/wp-content/themes/salient/css/build/off-canvas/core.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/off-canvas/cored8c7.css	(from https://sigony.com/)
20:01:11	86123/86123	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2023:01:11%20GMT	https://sigony.com/project-type/hair-products/	C:/SITE%20AMPLIO/1/sigony.com/project-type/hair-products/index.html	(from https://sigony.com/)
20:01:11	96592/96592	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2020:17:10%20GMT	https://sigony.com/privacy-policy/	C:/SITE%20AMPLIO/1/sigony.com/privacy-policy/index.html	(from https://sigony.com/)
20:01:11	10169/10169	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-27b9%22	https://sigony.com/wp-content/themes/salient/css/build/off-canvas/fullscreen-legacy.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/off-canvas/fullscreen-legacyd8c7.css	(from https://sigony.com/)
20:01:12	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22662a6a63-15601%22	https://sigony.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/SITE%20AMPLIO/1/sigony.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://sigony.com/)
20:01:12	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%22662a6a63-3509%22	https://sigony.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/SITE%20AMPLIO/1/sigony.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://sigony.com/)
20:01:12	2392/2392	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-958%22	https://sigony.com/wp-content/themes/salient/js/build/third-party/jquery.easing.min.js?ver=1.3	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/third-party/jquery.easing.min4e44.js	(from https://sigony.com/)
20:01:12	2711/2711	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-a97%22	https://sigony.com/wp-content/themes/salient/js/build/third-party/jquery.mousewheel.min.js?ver=3.1.13	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/third-party/jquery.mousewheel.mina9d5.js	(from https://sigony.com/)
20:01:13	1922/1922	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-782%22	https://sigony.com/wp-content/themes/salient/js/build/priority.js?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/priorityd8c7.js	(from https://sigony.com/)
20:01:13	7416/7416	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-1cf8%22	https://sigony.com/wp-content/themes/salient/js/build/third-party/transit.min.js?ver=0.9.9	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/third-party/transit.mine2dc.js	(from https://sigony.com/)
20:01:13	8999/8999	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267000859-2327%22	https://sigony.com/wp-content/themes/salient/js/build/third-party/waypoints.js?ver=4.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/js/build/third-party/waypoints05da.js	(from https://sigony.com/)
